source_id,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,parallax,original_ext_source_id,j_m,ks_m
4.65528774050558E+018,14.96383,13.75794,16.493143,-0.089882163914747,05002937-6907194,11.945,10.741
4.65528787794452E+018,15.878115,14.817867,16.91774,-0.010945172058272,05003699-6905544,13.408,12.241
4.65528791230421E+018,15.743982,14.508769,17.277393,-0.057280709607105,05002500-6905579,12.67,10.736
4.65528890437729E+018,15.531884,14.362154,16.756708,-0.125448805534053,05023013-6908568,12.462,10.675
4.65528901181962E+018,16.006617,14.644256,18.029652,-0.078485036262978,05023369-6908257,12.506,11.187
4.65528901181965E+018,15.866681,14.547987,17.777561,-0.10793313019606,05024208-6908457,12.4,10.407
4.65528935538227E+018,15.587729,14.323948,17.062355,-0.009183801926544,05015612-6910470,12.611,11.433
4.65528993953244E+018,15.671839,14.380177,17.43627,-0.081031739009664,05020234-6906446,12.446,11.137
4.65529018005056E+018,13.827649,12.615104,15.382465,-0.044975381523191,05014670-6906540,10.786,9.553
4.65529038184629E+018,15.74981,14.56074,17.076174,-0.076157358592114,05013299-6903461,12.804,11.612
4.65529062669294E+018,15.430247,14.39625,16.294508,0.00476520994123,05025947-6906260,12.664,11.446
4.65529086724604E+018,14.466282,13.269164,15.998038,0.015186288692176,05023243-6904511,11.146,9.559
4.65529145136159E+018,16.397902,14.9944725,17.97068,-0.223777821148672,05024753-6902035,12.754,11.383
4.65529179495884E+018,15.85449,14.816529,16.885817,-0.001206485295853,05020318-6901553,13.357,12.264
4.6552924477938E+018,16.084019,14.837555,17.173985,-0.019151186716452,05014947-6900231,13.105,11.905
4.65529302754759E+018,16.098282,14.732604,18.108267,-0.004644144044236,05004626-6905004,12.559,11.259
4.65529310062958E+018,16.005571,14.919252,17.052294,-0.03167859764783,05010291-6904246,13.436,12.227
4.65529313498928E+018,13.978139,12.757335,15.587876,-0.168530061179637,05004662-6904040,10.909,9.646
